ID	NAME	STATE	LAYER	DRAW_RECT	DRAW_MODE	DRAW	CAN_HEX_ID	CAN_BYTE_INDEX	CAN_BYTE_WIDTH	CAN_BIT_INDEX	CAN_BIT_WIDTH	DIRTY_FLAG_FUNC	DRAW_FUNC	AUDIO	AUDIO_FUNC
SHIFTER	shifter	NORMAL	1_DRAW	(50, 50),(50,50)	mapping	1:SHIFTER_P,2:SHIFTER_R,3:SHIFTER_N,4:SHIFTER_D	134	1	1	0	3				
MODE	car mode	NORMAL	1_DRAW	(100, 100),(100,100)	mapping	1:SHIFTER_P,2:SHIFTER_R,3:SHIFTER_N,4:SHIFTER_D	134	1	1	4	3				
R_TURN	right turn	NORMAL	1_DRAW	(100, 100),(100,100)	mapping	1:ICON_R,0:off	GPIO	1	1	0	1			1:tic,0:toc	
L_TURN	right turn	NORMAL	1_DRAW	(100, 100),(100,100)	mapping	1:on,0:off	GPIO	1	1	1	1			1:tic,2:toc	
															
															
															
															
															
															
															
															
															
															
															
#https://docs.google.com/spreadsheets/d/1wz_PT9Oz0E7_G26WfKecahkKRHSwEYe3iCRTIuLpeYg/edit?usp=sharing															
